Date,Open,High,Low,Close,Adj Close,Volume
2021-03-12,83100.000000,83500.000000,82400.000000,82800.000000,81682.039063,13530573
2021-03-15,82800.000000,82900.000000,81800.000000,81800.000000,80695.546875,13735798
2021-03-16,82200.000000,83000.000000,82100.000000,82800.000000,81682.039063,12293537
2021-03-17,82800.000000,82900.000000,82000.000000,82300.000000,81188.789063,11625146
2021-03-18,82800.000000,83800.000000,82600.000000,82900.000000,81780.695313,18585244
2021-03-19,82100.000000,82500.000000,81800.000000,81900.000000,80794.187500,15869700
2021-03-22,82000.000000,82300.000000,81700.000000,82000.000000,80892.835938,12670506
2021-03-23,82600.000000,82900.000000,81800.000000,81800.000000,80695.546875,13299907
2021-03-24,81000.000000,81600.000000,80700.000000,81000.000000,79906.343750,17926638
2021-03-25,81000.000000,82100.000000,80800.000000,81200.000000,80103.640625,14758826
2021-03-26,81400.000000,81600.000000,81000.000000,81500.000000,80399.585938,12845778
2021-03-29,81700.000000,81700.000000,81000.000000,81600.000000,80498.242188,14952134
2021-03-30,81600.000000,82300.000000,81300.000000,82200.000000,81450.484375,13121698
2021-03-31,82400.000000,82700.000000,81400.000000,81400.000000,80657.773438,17240518
2021-04-01,82500.000000,83000.000000,82000.000000,82900.000000,82144.101563,18676461
2021-04-02,84000.000000,85200.000000,83900.000000,84800.000000,84026.773438,22997538
2021-04-05,85800.000000,86000.000000,84800.000000,85400.000000,84621.296875,16255990
2021-04-06,86200.000000,86200.000000,85100.000000,86000.000000,85215.828125,19042023
2021-04-07,86100.000000,86200.000000,85400.000000,85600.000000,84819.476563,17885538
2021-04-08,85700.000000,85700.000000,84100.000000,84700.000000,83927.679688,19244259
2021-04-09,84700.000000,84900.000000,83400.000000,83600.000000,82837.710938,18193707
2021-04-12,84100.000000,84100.000000,83100.000000,83200.000000,82441.359375,12915282
2021-04-13,83000.000000,84500.000000,82800.000000,84000.000000,83234.062500,15238206
2021-04-14,84000.000000,84300.000000,83400.000000,84000.000000,83234.062500,13794652
2021-04-15,83700.000000,84500.000000,83400.000000,84100.000000,83333.156250,16377412
2021-04-16,84700.000000,84700.000000,83600.000000,83900.000000,83134.984375,15429522
2021-04-19,83800.000000,84000.000000,83300.000000,83300.000000,82540.445313,15287311
2021-04-20,83300.000000,84000.000000,83100.000000,83900.000000,83134.984375,15521965
2021-04-21,83300.000000,83500.000000,82500.000000,82600.000000,81846.828125,21636079
2021-04-22,82900.000000,83000.000000,82400.000000,82400.000000,81648.656250,13934746
2021-04-23,81900.000000,82900.000000,81600.000000,82800.000000,82045.007813,17805080
2021-04-26,82900.000000,83500.000000,82600.000000,83500.000000,82738.625000,15489938
2021-04-27,83200.000000,83300.000000,82500.000000,82900.000000,82144.101563,12941533
2021-04-28,83200.000000,83200.000000,82100.000000,82100.000000,81351.390625,15596759
2021-04-29,82400.000000,82500.000000,81500.000000,81700.000000,80955.039063,20000973
2021-04-30,81900.000000,82100.000000,81500.000000,81500.000000,80756.867188,18673197
2021-05-03,81000.000000,82400.000000,81000.000000,81700.000000,80955.039063,15710336
2021-05-04,81900.000000,82600.000000,81800.000000,82600.000000,81846.828125,12532550
2021-05-06,81700.000000,82300.000000,81700.000000,82300.000000,81549.562500,17047511
2021-05-07,81800.000000,82100.000000,81500.000000,81900.000000,81153.210938,14154882
